Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount,Total_Sales,Net_price,Month_name
106034,"2024-03-03 20:15:00",Giza-Zayed,"Super B.Laban",Medium,52.58,8,0.1,Nutella,80486,16,Male,Silver,Wallet,Talabat,114,1.9,101,34.8,47.4,NULL,"Not Holiday",Signature,"Greater Cairo",Weekend,20,58.89,437.47,340.72,March
100583,"2024-01-07 01:30:00",Giza-Zayed,"Sweet Koshary Mix",Medium,87.06,11,0,Pistachio,54996,44,Female,"No Membership","Credit Card",In-store,103,14.3,117,23.7,66.2,4,"Not Holiday",Signature,"Greater Cairo",Weekend,1,134.07,1091.73,957.66,January
109931,"2024-04-13 10:30:00",Dubai-Marina,"Om Ali Cream",Medium,94.94,1,0,Lotus,87449,65,Female,"No Membership",Instapay,ElMenus,40,7.7,117,21.7,67.4,NULL,"Not Holiday",Traditional,UAE,Weekend,10,13.29,108.23,94.94,April
107052,"2024-03-14 10:45:00",Giza-Zayed,"Ice Cream Mango",Small,47.32,5,0.15,Nutella,59687,42,Unknown,Gold,Wallet,"Mobile App",108,3.6,138,40.3,50.9,5,"Not Holiday","Ice Cream","Greater Cairo","not weekend",10,33.12,234.23,170.94,March
108159,"2024-03-25 23:30:00",Mansoura-Mashaya,"Qishtouza Lotus",Medium,73.19,3,0,Nuts,73748,67,Female,Silver,Cash,In-store,61,13.8,103,21.4,66.9,3,"Not Holiday",Modern,Delta,"not weekend",23,30.74,250.31,219.57,March
109897,"2024-04-13 02:00:00",Riyadh-Olaya,"Om Ali Cream",Medium,74.01,9,0,Nuts,57673,44,Male,Gold,Wallet,ElMenus,46,15,103,23.1,87.4,1,"Not Holiday",Traditional,KSA,Weekend,2,93.25,759.34,666.09,April
102250,"2024-01-24 10:15:00","Cairo-Nasr City","Qishtouza Lotus",Large,44.01,10,0,Pistachio,83493,25,Male,"No Membership","Credit Card",Talabat,51,9.7,115,35,49.5,2,"Not Holiday",Modern,"Greater Cairo","not weekend",10,61.61,501.71,440.10,January
104641,"2024-02-18 08:00:00",Riyadh-Olaya,"Super B.Laban",Medium,46.9,10,0,Lotus,74406,44,Male,"No Membership",Instapay,Talabat,44,6.1,125,41.3,37.4,2,"Not Holiday",Signature,KSA,Weekend,8,65.66,534.66,469.00,February
109486,"2024-04-08 19:15:00",Giza-Zayed,"Rice Pudding Oven",Medium,48.4,5,0,Pistachio,82266,44,Female,Silver,Instapay,Talabat,60,10.6,139,31.4,45.9,3,"Not Holiday",Traditional,"Greater Cairo","not weekend",19,33.88,275.88,242.00,April
104948,"2024-02-21 12:45:00",Tanta-Saeed,"Ice Cream Mango",Medium,169.76,9,0,Pistachio,52695,44,Male,"No Membership",Cash,Talabat,54,11.6,133,36.2,43.8,2,"Not Holiday","Ice Cream",Delta,"not weekend",12,213.9,1741.74,1527.84,February
109921,"2024-04-13 08:00:00",Alex-Stanly,"Sweet Koshary Mix",Medium,113.87,8,0,"No Topping",58324,44,Male,Gold,Instapay,Talabat,36,3.2,119,16.4,78.4,2,"Not Holiday",Signature,Alexandria,Weekend,8,127.53,1038.49,910.96,April
101964,"2024-01-21 10:45:00",Cairo-Zamalek,"Rice Pudding Nuts",Small,128.26,5,0,"No Topping",82847,23,Male,"No Membership","Credit Card",In-store,104,12.2,103,24.9,74.4,4,"Not Holiday",Traditional,"Greater Cairo",Weekend,10,89.78,731.08,641.30,January
108244,"2024-03-26 20:45:00",Dubai-Marina,"Super B.Laban",Small,86.96,1,0,"No Topping",87370,44,Male,Gold,"Credit Card",In-store,12,14.4,138,20,79.4,3,"Not Holiday",Signature,UAE,"not weekend",20,12.17,99.13,86.96,March
106591,"2024-03-09 15:30:00",Giza-Zayed,"Om Ali Cream",Medium,165.02,10,0,"No Topping",68267,65,Female,"No Membership",Instapay,Talabat,69,11.4,111,16.9,48.3,3,"Not Holiday",Traditional,"Greater Cairo",Weekend,15,231.03,1881.23,1650.20,March
108848,"2024-04-02 03:45:00",Riyadh-Olaya,"Sweet Koshary Mix",Medium,94.85,2,0,Nuts,51813,44,Female,Gold,"Credit Card",Talabat,71,7.9,123,21.4,75.6,NULL,Holiday,Signature,KSA,"not weekend",3,26.56,216.26,189.70,April
100322,"2024-01-04 08:15:00",Mansoura-Mashaya,"Sweet Koshary Mix",Medium,110.11,4,0,"No Topping",55706,47,Unknown,"No Membership",Instapay,"Mobile App",72,12.2,104,32.8,79.9,5,"Not Holiday",Signature,Delta,"not weekend",8,61.66,502.1,440.44,January
102679,"2024-01-28 21:30:00",Dubai-Marina,"Super B.Laban",Large,134.47,7,0,Nuts,58582,74,Male,Silver,Instapay,ElMenus,105,14.7,114,41,59.8,1,"Not Holiday",Signature,UAE,Weekend,21,131.78,1073.07,941.29,January
104626,"2024-02-18 04:15:00",Riyadh-Olaya,"Rice Pudding Nuts",Medium,47.97,11,0,Pistachio,61584,61,Female,Gold,Instapay,In-store,15,8.5,128,28.6,21.7,3,"Not Holiday",Traditional,KSA,Weekend,4,73.87,601.54,527.67,February
104950,"2024-02-21 13:15:00",Dubai-Marina,"Qishtouza Lotus",Medium,167.75,6,0,"No Topping",77242,44,Male,Gold,Instapay,In-store,24,2.5,119,17.4,43.8,3,"Not Holiday",Modern,UAE,"not weekend",13,140.91,1147.41,1006.50,February
108329,"2024-03-27 18:00:00",Mansoura-Mashaya,"Om Ali Cream",Small,87.88,3,0.1,Pistachio,83320,71,Male,Silver,Cash,In-store,86,5.1,148,42.8,46,3,"Not Holiday",Traditional,Delta,"not weekend",18,36.91,274.19,213.55,March
103338,"2024-02-04 18:15:00",Tanta-Saeed,"Qishtouza Lotus",Medium,154.89,3,0,"No Topping",89283,66,Female,Bronze,Wallet,ElMenus,52,9.7,101,16,56.3,4,"Not Holiday",Modern,Delta,Weekend,18,65.05,529.72,464.67,February
105590,"2024-02-28 05:15:00",Cairo-Zamalek,"Qishtouza Lotus",Small,97.03,1,0.15,Nutella,79957,59,Male,Gold,"Credit Card",In-store,52,14.9,117,32.6,33.8,2,"Not Holiday",Modern,"Greater Cairo","not weekend",5,13.58,96.06,70.11,February
100252,"2024-01-03 14:45:00","Cairo-Nasr City","Qishtouza Nutella",Medium,93.43,2,0.05,Lotus,52586,44,Female,Silver,"Credit Card",ElMenus,81,5.2,127,22.7,53,1,"Not Holiday",Modern,"Greater Cairo","not weekend",14,26.16,203.68,168.64,January
103974,"2024-02-11 09:15:00",Dubai-Marina,"Sweet Koshary Mix",Large,132.07,3,0,Nutella,63410,37,Female,Gold,"Credit Card",Talabat,91,6.9,147,20.6,60.9,4,"Not Holiday",Signature,UAE,Weekend,9,55.47,451.68,396.21,February
106631,"2024-03-10 01:30:00",Tanta-Saeed,"Rice Pudding Oven",Small,80.77,4,0,Pistachio,88928,27,Female,"No Membership",Instapay,Talabat,34,1.7,108,15.9,71.2,NULL,"Not Holiday",Traditional,Delta,Weekend,1,45.23,368.31,323.08,March
105548,"2024-02-27 18:45:00",Tanta-Saeed,"Sweet Koshary Mix",Medium,168.75,10,0.15,"No Topping",79030,20,Male,Silver,Wallet,In-store,72,6.3,113,34.7,63.2,1,"Not Holiday",Signature,Delta,"not weekend",18,236.25,1670.62,1219.21,February
100036,"2024-01-01 08:45:00",Mansoura-Mashaya,"Qishtouza Lotus",Medium,153.78,1,0.15,Pistachio,58284,31,Male,Gold,Wallet,ElMenus,28,1.5,112,24.6,40.2,4,"Not Holiday",Modern,Delta,"not weekend",8,21.53,152.24,111.10,January
108363,"2024-03-28 02:30:00",Mansoura-Mashaya,"Rice Pudding Oven",Medium,173.61,3,0,Nuts,88867,49,Female,Silver,"Credit Card",Talabat,28,10.3,107,23.7,53.6,NULL,"Not Holiday",Traditional,Delta,"not weekend",2,72.92,593.75,520.83,March
101514,"2024-01-16 18:15:00","Cairo-Nasr City","Sweet Koshary Mix",Medium,92.12,1,0,Nutella,58195,37,Female,"No Membership","Credit Card","Mobile App",109,12.6,105,42.8,75.3,4,"Not Holiday",Signature,"Greater Cairo","not weekend",18,12.9,105.02,92.12,January
109318,"2024-04-07 01:15:00",Dubai-Marina,"Rice Pudding Nuts",Large,114.57,6,0.05,Nuts,56910,44,Male,"No Membership",Wallet,In-store,16,1.9,125,40.2,78.7,4,"Not Holiday",Traditional,UAE,Weekend,1,96.24,749.29,620.40,April
100040,"2024-01-01 09:45:00",Alex-Stanly,"Qishtouza Nutella",Small,46.34,1,0.15,"No Topping",61210,44,Female,"No Membership",Instapay,ElMenus,56,7.1,147,19.4,31.1,1,"Not Holiday",Modern,Alexandria,"not weekend",9,6.49,45.88,33.48,January
104820,"2024-02-20 04:45:00",Dubai-Marina,"Rice Pudding Oven",Medium,97.16,5,0,Pistachio,50197,23,Unknown,"No Membership",Cash,Talabat,83,9.9,135,15.6,52.2,2,"Not Holiday",Traditional,UAE,"not weekend",4,68.01,553.81,485.80,February
103466,"2024-02-06 02:15:00",Tanta-Saeed,"Qishtouza Nutella",Medium,49.13,8,0,Lotus,63667,60,Female,Gold,Instapay,ElMenus,23,5.4,138,30.2,64.9,3,"Not Holiday",Modern,Delta,"not weekend",2,55.03,448.07,393.04,February
101761,"2024-01-19 08:00:00",Riyadh-Olaya,"Qishtouza Nutella",Medium,173.74,5,0,Lotus,74404,46,Female,Bronze,"Credit Card",ElMenus,78,8.1,127,24.9,60.4,NULL,"Not Holiday",Modern,KSA,Weekend,8,121.62,990.32,868.70,January
102305,"2024-01-25 00:00:00","Cairo-Nasr City","Sweet Koshary Mix",Large,93.39,3,0.05,Nuts,54563,67,Female,"No Membership",Cash,ElMenus,113,8.9,115,39,51.4,5,"Not Holiday",Signature,"Greater Cairo","not weekend",0,39.22,305.38,252.85,January
103724,"2024-02-08 18:45:00",Riyadh-Olaya,"Qishtouza Lotus",Medium,164.34,11,0,Nuts,80055,37,Female,Silver,Cash,"Mobile App",47,4.6,127,17,62.6,2,"Not Holiday",Modern,KSA,"not weekend",18,253.08,2060.82,1807.74,February
108285,"2024-03-27 07:00:00",Giza-Zayed,"Sweet Koshary Mix",Large,52.82,7,0,Nutella,73863,40,Unknown,Silver,Wallet,ElMenus,22,12.4,102,40,45.3,3,"Not Holiday",Signature,"Greater Cairo","not weekend",7,51.76,421.5,369.74,March
104994,"2024-02-22 00:15:00","Cairo-Nasr City","Qishtouza Lotus",Medium,66.53,6,0,Lotus,81726,68,Unknown,Bronze,"Credit Card",ElMenus,15,1.6,118,19.9,84.4,1,"Not Holiday",Modern,"Greater Cairo","not weekend",0,55.89,455.07,399.18,February
108128,"2024-03-25 15:45:00",Cairo-Zamalek,"Ice Cream Mango",Large,153.07,2,0,Lotus,89518,23,Male,Bronze,Instapay,"Mobile App",23,10.2,111,21.8,83.5,2,"Not Holiday","Ice Cream","Greater Cairo","not weekend",15,42.86,349,306.14,March
103033,"2024-02-01 14:00:00",Dubai-Marina,"Sweet Koshary Mix",Medium,60.5,1,0,Nuts,78035,33,Female,Gold,Cash,ElMenus,67,11.6,136,21.6,72,1,"Not Holiday",Signature,UAE,"not weekend",14,8.47,68.97,60.50,February
107939,"2024-03-23 16:30:00",Mansoura-Mashaya,"Rice Pudding Nuts",Large,145.9,5,0.05,"No Topping",53504,22,Male,Bronze,Wallet,"Mobile App",29,4.4,133,33.2,77.9,5,"Not Holiday",Traditional,Delta,Weekend,16,102.13,795.16,658.38,March
103040,"2024-02-01 15:45:00",Alex-Stanly,"Qishtouza Nutella",Large,164.61,1,0,"No Topping",64528,37,Female,"No Membership",Instapay,In-store,110,1.7,129,25.8,34.8,5,"Not Holiday",Modern,Alexandria,"not weekend",15,23.05,187.66,164.61,February
109656,"2024-04-10 13:45:00",Cairo-Zamalek,"Qishtouza Lotus",Medium,49.23,5,0.05,Nuts,62725,71,Male,"No Membership",Wallet,"Mobile App",34,7.1,109,23.2,23.3,4,Holiday,Modern,"Greater Cairo","not weekend",13,34.46,268.3,222.15,April
102546,"2024-01-27 12:15:00","Cairo-Nasr City","Sweet Koshary Mix",Small,164.87,9,0,Pistachio,53426,44,Male,Silver,"Credit Card",Talabat,43,5.4,122,16.2,23.3,3,"Not Holiday",Signature,"Greater Cairo",Weekend,12,207.74,1691.57,1483.83,January
102593,"2024-01-28 00:00:00",Dubai-Marina,"Om Ali Cream",Medium,108.57,10,0,Lotus,77405,25,Male,Silver,Instapay,In-store,111,14.3,104,29.6,62.4,1,"Not Holiday",Traditional,UAE,Weekend,0,152,1237.7,1085.70,January
101189,"2024-01-13 09:00:00",Alex-Stanly,"Qishtouza Lotus",Medium,82.14,10,0,"No Topping",71694,39,Female,Bronze,Cash,Talabat,93,3.5,129,39.1,52.2,2,"Not Holiday",Modern,Alexandria,Weekend,9,115,936.4,821.40,January
107967,"2024-03-23 23:30:00",Riyadh-Olaya,"Rice Pudding Nuts",Large,121.91,1,0,"No Topping",79096,51,Female,"No Membership",Wallet,"Mobile App",31,2,113,37.7,43.7,1,"Not Holiday",Traditional,KSA,Weekend,23,17.07,138.98,121.91,March
106078,"2024-03-04 07:15:00",Tanta-Saeed,"Rice Pudding Nuts",Small,44.26,10,0,Nutella,81884,50,Female,Bronze,Instapay,ElMenus,39,12.3,143,32.6,56.7,4,"Not Holiday",Traditional,Delta,"not weekend",7,61.96,504.56,442.60,March
100108,"2024-01-02 02:45:00",Giza-Zayed,"Qishtouza Nutella",Medium,156,2,0.15,Nuts,55075,40,Female,Silver,"Credit Card",ElMenus,19,2.5,141,15.9,36,2,"Not Holiday",Modern,"Greater Cairo","not weekend",2,43.68,308.88,225.42,January
101316,"2024-01-14 16:45:00",Giza-Zayed,"Rice Pudding Nuts",Large,145.62,5,0,Pistachio,73753,48,Male,"No Membership",Wallet,In-store,109,12.5,138,21.3,33.9,5,"Not Holiday",Traditional,"Greater Cairo",Weekend,16,101.93,830.03,728.10,January
108188,"2024-03-26 06:45:00",Giza-Zayed,"Ice Cream Mango",Large,125.66,6,0,Pistachio,84233,54,Male,Bronze,"Credit Card",Talabat,47,10.5,102,36.1,79.2,NULL,"Not Holiday","Ice Cream","Greater Cairo","not weekend",6,105.55,859.51,753.96,March
102754,"2024-01-29 16:15:00",Tanta-Saeed,"Sweet Koshary Mix",Small,151.68,9,0.1,Pistachio,68655,29,Unknown,Gold,"Credit Card",In-store,10,6.8,120,31.3,29.9,3,"Not Holiday",Signature,Delta,"not weekend",16,191.12,1419.73,1105.75,January
109754,"2024-04-11 14:15:00",Riyadh-Olaya,"Om Ali Cream",Medium,122.49,2,0,"No Topping",88604,72,Unknown,"No Membership",Wallet,Talabat,108,10.5,136,34.6,45.2,NULL,"Not Holiday",Traditional,KSA,"not weekend",14,34.3,279.28,244.98,April
106232,"2024-03-05 21:45:00",Dubai-Marina,"Qishtouza Nutella",Small,119.25,3,0.15,Nuts,58552,33,Male,Silver,Wallet,ElMenus,61,8.7,108,38.5,25.7,5,"Not Holiday",Modern,UAE,"not weekend",21,50.09,354.18,258.48,March
102877,"2024-01-30 23:00:00",Cairo-Zamalek,"Rice Pudding Nuts",Medium,53.19,9,0.15,Nutella,85266,56,Female,"No Membership",Wallet,Talabat,119,1.8,102,18.2,86.5,NULL,"Not Holiday",Traditional,"Greater Cairo","not weekend",23,67.02,473.92,345.86,January
105324,"2024-02-25 10:45:00",Tanta-Saeed,"Rice Pudding Oven",Large,106.35,7,0.15,Pistachio,78859,45,Male,"No Membership",Wallet,"Mobile App",81,9.2,106,21.9,43.8,4,"Not Holiday",Traditional,Delta,Weekend,10,104.22,737,537.86,February
100800,"2024-01-09 07:45:00",Alex-Stanly,"Qishtouza Lotus",Small,124.37,10,0,Lotus,51237,50,Female,Bronze,Instapay,ElMenus,81,3.6,129,23.5,89.7,2,"Not Holiday",Modern,Alexandria,"not weekend",7,174.12,1417.82,1243.70,January
103571,"2024-02-07 04:30:00",Alex-Stanly,"Qishtouza Nutella",Small,77.28,2,0,Lotus,88761,44,Female,Bronze,Cash,Talabat,91,12.6,133,15.1,35.3,4,"Not Holiday",Modern,Alexandria,"not weekend",4,21.64,176.2,154.56,February
102895,"2024-01-31 03:30:00",Dubai-Marina,"Ice Cream Mango",Medium,146.44,1,0,Pistachio,59727,38,Male,Gold,Wallet,ElMenus,51,7.6,141,34.9,89.7,NULL,Holiday,"Ice Cream",UAE,"not weekend",3,20.5,166.94,146.44,January
102928,"2024-01-31 11:45:00",Cairo-Zamalek,"Rice Pudding Nuts",Medium,109.47,4,0,Nutella,84439,14,Male,Gold,Wallet,ElMenus,71,11.7,114,38.6,21,4,"Not Holiday",Traditional,"Greater Cairo","not weekend",11,61.3,499.18,437.88,January
108179,"2024-03-26 04:30:00",Alex-Stanly,"Sweet Koshary Mix",Medium,66.28,1,0.05,"No Topping",87958,61,Female,"No Membership",Wallet,"Mobile App",90,2,131,35,88.5,4,"Not Holiday",Signature,Alexandria,"not weekend",4,9.28,72.25,59.82,March
100972,"2024-01-11 02:45:00",Dubai-Marina,"Sweet Koshary Mix",Large,136.89,11,0,"No Topping",72844,44,Male,Gold,"Credit Card",Talabat,85,2.1,126,36.7,40.3,NULL,"Not Holiday",Signature,UAE,"not weekend",2,210.81,1716.6,1505.79,January
106688,"2024-03-10 15:45:00",Giza-Zayed,"Qishtouza Nutella",Medium,94.14,10,0.05,Lotus,78954,44,Female,Silver,Instapay,"Mobile App",70,11.2,146,18.2,86.2,NULL,"Not Holiday",Modern,"Greater Cairo",Weekend,15,131.8,1026.13,849.61,March
108576,"2024-03-30 07:45:00",Riyadh-Olaya,"Ice Cream Mango",Large,152.44,6,0,Nuts,80012,58,Unknown,Silver,Cash,"Mobile App",22,10.6,142,21.2,21.5,3,"Not Holiday","Ice Cream",KSA,Weekend,7,128.05,1042.69,914.64,March
102021,"2024-01-22 01:00:00",Dubai-Marina,"Rice Pudding Oven",Medium,144.24,10,0,"No Topping",71535,46,Male,"No Membership",Instapay,Talabat,12,13.5,129,17.9,42.7,1,"Not Holiday",Traditional,UAE,"not weekend",1,201.94,1644.34,1442.40,January
109055,"2024-04-04 07:30:00",Alex-Stanly,"Om Ali Cream",Medium,151.79,8,0,"No Topping",59118,47,Male,"No Membership",Instapay,"Mobile App",119,9.4,121,39.5,33.5,1,"Not Holiday",Traditional,Alexandria,"not weekend",7,170,1384.32,1214.32,April
100953,"2024-01-10 22:00:00",Mansoura-Mashaya,"Om Ali Cream",Medium,151.29,3,0.15,"No Topping",74922,48,Female,Bronze,Wallet,In-store,94,3.5,108,33.4,73.4,3,"Not Holiday",Traditional,Delta,"not weekend",22,63.54,449.33,327.92,January
105360,"2024-02-25 19:45:00",Mansoura-Mashaya,"Ice Cream Mango",Medium,70.88,3,0,Pistachio,79500,64,Female,"No Membership",Instapay,In-store,75,11.2,138,31.1,59.3,4,"Not Holiday","Ice Cream",Delta,Weekend,19,29.77,242.41,212.64,February
103858,"2024-02-10 04:15:00",Alex-Stanly,"Ice Cream Mango",Large,176.11,8,0,"No Topping",84173,56,Male,Gold,Wallet,"Mobile App",55,4.5,112,31.1,73.7,4,"Not Holiday","Ice Cream",Alexandria,Weekend,4,197.24,1606.12,1408.88,February
105862,"2024-03-02 01:15:00",Riyadh-Olaya,"Om Ali Cream",Large,40.03,5,0.05,Nutella,71235,22,Male,"No Membership",Cash,Talabat,25,4.7,108,41,56.4,1,"Not Holiday",Traditional,KSA,Weekend,1,28.02,218.16,180.63,March
103146,"2024-02-02 18:15:00",Giza-Zayed,"Ice Cream Mango",Large,120.41,5,0,Nuts,83720,22,Male,Bronze,"Credit Card",In-store,31,9.2,149,25.9,50.8,3,Holiday,"Ice Cream","Greater Cairo",Weekend,18,84.29,686.34,602.05,February
103306,"2024-02-04 10:15:00",Mansoura-Mashaya,"Qishtouza Lotus",Medium,99.64,10,0.1,Lotus,64741,40,Male,Silver,"Credit Card",In-store,79,0.6,148,32.1,58.4,5,"Not Holiday",Modern,Delta,Weekend,10,139.5,1036.26,807.08,February
103007,"2024-02-01 07:30:00",Cairo-Zamalek,"Rice Pudding Nuts",Large,81.54,4,0,"No Topping",74541,30,Male,Bronze,Cash,"Mobile App",45,3.3,113,21.3,33.9,5,"Not Holiday",Traditional,"Greater Cairo","not weekend",7,45.66,371.82,326.16,February
109002,"2024-04-03 18:15:00",Giza-Zayed,"Rice Pudding Nuts",Medium,51.39,9,0,Nutella,86135,14,Female,Gold,Instapay,"Mobile App",30,3.7,115,35.7,30,NULL,"Not Holiday",Traditional,"Greater Cairo","not weekend",18,64.75,527.26,462.51,April
107771,"2024-03-21 22:30:00",Riyadh-Olaya,"Qishtouza Nutella",Large,127.26,2,0,Nutella,88300,32,Female,Bronze,"Credit Card",Talabat,88,2.3,118,21.4,46.2,2,"Not Holiday",Modern,KSA,"not weekend",22,35.63,290.15,254.52,March
107439,"2024-03-18 11:30:00","Cairo-Nasr City","Qishtouza Lotus",Medium,130.27,3,0,"No Topping",55167,44,Female,Bronze,"Credit Card",Talabat,68,11.5,131,32.1,56.9,5,"Not Holiday",Modern,"Greater Cairo","not weekend",11,54.71,445.52,390.81,March
107943,"2024-03-23 17:30:00",Cairo-Zamalek,"Sweet Koshary Mix",Medium,138.78,5,0,Nuts,51859,62,Unknown,Gold,Wallet,Talabat,53,3.5,105,17.2,35.1,1,"Not Holiday",Signature,"Greater Cairo",Weekend,17,97.15,791.05,693.90,March
109239,"2024-04-06 05:30:00",Mansoura-Mashaya,"Rice Pudding Oven",Large,107.11,3,0.15,Pistachio,69363,19,Unknown,Silver,Instapay,In-store,65,8.6,128,27.8,36.8,NULL,"Not Holiday",Traditional,Delta,Weekend,5,44.99,318.12,232.16,April
101057,"2024-01-12 00:00:00",Riyadh-Olaya,"Super B.Laban",Medium,174.41,6,0.15,Pistachio,59963,18,Unknown,"No Membership",Wallet,In-store,41,6.8,125,18.4,78.3,5,"Not Holiday",Signature,KSA,Weekend,0,146.5,1035.99,756.07,January
103155,"2024-02-02 20:30:00",Dubai-Marina,"Om Ali Cream",Medium,138.41,9,0,Lotus,61718,30,Female,"No Membership",Cash,In-store,58,5.1,120,35.7,66.1,3,"Not Holiday",Traditional,UAE,Weekend,20,174.4,1420.09,1245.69,February
103788,"2024-02-09 10:45:00","Cairo-Nasr City","Super B.Laban",Small,103.34,1,0.05,"No Topping",64242,12,Male,Gold,Cash,Talabat,95,4.5,102,42.8,86,4,"Not Holiday",Signature,"Greater Cairo",Weekend,10,14.47,112.64,93.26,February
109190,"2024-04-05 17:15:00",Alex-Stanly,"Rice Pudding Oven",Medium,60.22,2,0.15,Lotus,63165,65,Male,Silver,Instapay,"Mobile App",32,9.4,112,44.2,23.2,NULL,"Not Holiday",Traditional,Alexandria,Weekend,17,16.86,119.23,87.01,April
107826,"2024-03-22 12:15:00",Alex-Stanly,"Super B.Laban",Large,153.07,10,0,Nuts,59891,61,Female,Bronze,"Credit Card","Mobile App",90,11.4,133,20.2,51,3,"Not Holiday",Signature,Alexandria,Weekend,12,214.3,1745,1530.70,March
